,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
992,13,Detroit,MI,Michigan,26,1749343,2020,8,30,31178,92,1782.0,9.31,-0.0986,-0.08,,-0.33299999999999996,-0.326,0.0657,-0.0697
1193,21,San Francisco,CA,California,6,881549,2020,8,30,9431,79,1070.0,9.03,-0.5760000000000001,-0.29100000000000004,-0.26,-0.664,-0.551,0.221,-0.259
1394,25,Boston,MA,Massachusetts,25,803907,2020,8,30,23403,53,2911.0,12.4,-0.321,-0.153,0.534,-0.59,-0.434,0.11900000000000001,-0.134
1595,28,Denver,CO,Colorado,8,727211,2020,8,30,11225,29,1544.0,6.36,-0.257,-0.0514,0.536,-0.46,-0.373,0.0971,-0.11
1796,38,Miami,FL,Florida,12,2716940,2020,8,30,156558,521,5762.0,24.0,-0.287,-0.161,-0.376,-0.507,-0.33399999999999996,0.121,-0.146
1997,48,Honolulu,HI,Hawaii,15,974563,2020,8,30,7584,174,778.0,22.8,-0.39899999999999997,-0.19699999999999998,-0.546,-0.617,-0.39,0.16899999999999998,-0.209
187,1,Los Angeles,CA,California,6,10039107,2020,8,29,239756,1298,2388.0,12.9,-0.299,-0.124,-0.0271,-0.413,-0.359,0.12300000000000001,-0.147
388,2,New York City,NY,New York,36,8336817,2020,8,29,238385,278,2859.0,3.17,-0.275,-0.10300000000000001,0.602,-0.419,-0.419,0.114,-0.131
589,7,Dallas,TX,Texas,48,2635516,2020,8,29,73685,801,2796.0,13.8,-0.16899999999999998,-0.0971,0.21,-0.319,-0.34,0.0943,-0.11
790,9,Seattle,WA,Washington,53,2252782,2020,8,29,19499,119,866.0,5.77,-0.256,-0.11699999999999999,0.883,-0.501,-0.457,0.131,-0.147
991,13,Detroit,MI,Michigan,26,1749343,2020,8,29,31086,106,1777.0,9.86,-0.10300000000000001,-0.0829,,-0.331,-0.326,0.0657,-0.0697
1192,21,San Francisco,CA,California,6,881549,2020,8,29,9352,134,1061.0,9.04,-0.579,-0.293,-0.26899999999999996,-0.667,-0.5529999999999999,0.22399999999999998,-0.265
1393,25,Boston,MA,Massachusetts,25,803907,2020,8,29,23350,89,2905.0,11.4,-0.34299999999999997,-0.16699999999999998,0.433,-0.599,-0.439,0.121,-0.14
1594,28,Denver,CO,Colorado,8,727211,2020,8,29,11196,49,1540.0,6.95,-0.26,-0.0543,0.506,-0.45899999999999996,-0.374,0.0971,-0.11
1795,38,Miami,FL,Florida,12,2716940,2020,8,29,156037,620,5743.0,25.4,-0.29100000000000004,-0.16399999999999998,-0.386,-0.507,-0.33399999999999996,0.121,-0.146
1996,48,Honolulu,HI,Hawaii,15,974563,2020,8,29,7410,263,760.0,23.5,-0.386,-0.19699999999999998,-0.546,-0.617,-0.379,0.166,-0.204
186,1,Los Angeles,CA,California,6,10039107,2020,8,28,238458,1472,2375.0,13.4,-0.301,-0.124,-0.04,-0.41100000000000003,-0.359,0.12300000000000001,-0.147
387,2,New York City,NY,New York,36,8336817,2020,8,28,238107,269,2856.0,3.15,-0.273,-0.10400000000000001,0.6940000000000001,-0.41100000000000003,-0.414,0.109,-0.122
588,7,Dallas,TX,Texas,48,2635516,2020,8,28,72884,257,2765.0,15.3,-0.171,-0.0986,0.21600000000000003,-0.313,-0.34,0.0929,-0.107
789,9,Seattle,WA,Washington,53,2252782,2020,8,28,19380,184,860.0,5.98,-0.257,-0.11599999999999999,0.88,-0.499,-0.456,0.131,-0.147
990,13,Detroit,MI,Michigan,26,1749343,2020,8,28,30980,135,1771.0,10.9,-0.107,-0.0871,,-0.32299999999999995,-0.32899999999999996,0.0643,-0.0672
